"gene_name","cluster_index"
"CAPZA1",9
"CAPG",9
"ACTN1",9
"ACTN4",9
"GYPC",9
"RHOG",9
"COTL1",9
"TPM4",9
"TGFBI",9
"DSTN",9
"FSCN1",9
"CTNNA1",9
"MARCKSL1",9
"MTSS1",9
"NUMB",9
"MYO10",9
"RND3",9
"LPP",9
"CYFIP1",9
"SPTBN1",9
"MYO1E",9
"RDX",9
"COL9A2",9
"STAG2",9
"LASP1",9
"PPP1R18",9
"PXDC1",9
"EVL",9
"CDC42EP3",9
"TRIP10",9
"CORO1B",9
"VIM",10
"CFL1",10
"SDC2",10
"LMO4",10
"NAP1L1",10
"ITGB1",10
"EIF4G2",10
"ALCAM",10
"CDC42",10
"TSPO",10
"VASP",10
"SPAG9",10
"NREP",10
"AGO2",10
"BRD2",10
"WDR1",10
"ATF5",10
"TACC1",10
"XRN2",10
"PLEKHO1",10
"IER2",10
"RALA",10
"MACF1",10
"MBNL1",10
"MYCBP2",10
"RHEB",10
"VEGFA",10
"EIF4E",10
"NCAM1",10
"ATRX",10
"SDC4",10
"B4GALT5",10
"ATXN10",10
"LST1",10
"TUBB2A",10
"EIF4A3",10
"USP9X",10
"ITGA6",10
"LRP12",10
"HOOK3",10
"UGCG",10
"FMNL3",10
"TNFRSF1B",10
"HERC1",10
"PPP3CA",10
"SKIL",10
"GAPDH",11
"ATP5F1E",11
"DBI",11
"IER3",11
"TXN",11
"PKM",11
"GPX4",11
"TDO2",11
"PGK1",11
"LDHA",11
"KYNU",11
"STARD4",11
"LRP10",11
"TALDO1",11
"LDHB",11
"TPI1",11
"UPP1",11
"COMT",11
"DECR1",11
"GLUL",11
"OSBPL8",11
"HEXB",11
"ERP29",11
"UXS1",11
"SLC16A3",11
"SMS",11
"SLC43A3",11
"ZC3H12A",11
"PGD",11
"SCP2",11
"LPL",11
"CMPK1",11
"MSRA",11
"PFKP",11
"KCTD20",11
"PLIN2",11
"HEXA",11
"CD36",11
"NME4",11
"SCPEP1",11
"NUDT14",11
"AKR1A1",11
"ACOX1",11
"IDO1",11
"EIF1",12
"CD81",12
"CD83",12
"IL7R",12
"PRRC2C",12
"IL23A",12
"HNRNPC",12
"CDK6",12
"SH3BGRL",12
"TSC22D1",12
"LMNA",12
"IKZF1",12
"IRF1",12
"LCP2",12
"HSPH1",12
"ZFP36L2",12
"CEBPB",12
"ABCF1",12
"IL4I1",12
"NECTIN2",12
"ICOSLG",12
"XBP1",12
"RELB",12
"NCKAP1L",12
"RIF1",12
"RASSF5",12
"IRF2BP2",12
"EBI3",12
"TNFRSF9",12
"CD276",12
"LAT2",12
"SWAP70",12
"ARID1B",12
"EIF4G3",12
"PAIP1",12
"PNP",12
"SKAP2",12
"GPNMB",12
"RBM23",12
"JAK1",12
"ITGB2",13
"ICAM1",13
"RHOA",13
"ACTR3",13
"HSPB1",13
"MS4A7",13
"CD99",13
"OGFRL1",13
"LAP3",13
"APBB1IP",13
"ZYX",13
"ITGB7",13
"YWHAG",13
"PTPN12",13
"PDLIM7",13
"ADAM17",13
"ABL2",13
"NORAD",13
"ITGB5",13
"MRC2",13
"CNN2",13
"ITGAV",13
"AIF1",13
"PRKAR2A",13
"TNS3",13
"TPRA1",13
"ERBIN",13
"PPP1CB",13
"MYL6",14
"TNFAIP2",14
"CFLAR",14
"EIF2S2",14
"BASP1",14
"MGP",14
"WASF2",14
"MYH9",14
"SELENOF",14
"ANKH",14
"RFLNB",14
"QKI",14
"ANKRD11",14
"CLIC4",14
"KRT10",14
"EMC10",14
"RCN1",14
"RBBP6",14
"ARID5B",14
"HDAC9",14
"ZFAND5",14
"PRDX4",14
"CRTAP",14
"COL6A1",14
"ENG",14
"PDLIM5",14
"KCNQ4",14
"SPP1",15
"LGALS1",15
"INHBA",15
"CCL1",15
"NMB",15
"CKLF",15
"CCNI",15
"CLEC11A",15
"TNFAIP6",15
"CD70",15
"APOE",15
"TYMP",15
"AREG",15
"METRNL",15
"LACTB",15
"BMP8B",15
"AFF4",15
"MANF",15
"HBEGF",15
"OSGIN2",15
"IL1A",15
"GDF15",15
"PRDX6",16
"CSTB",16
"CST3",16
"A2M",16
"CTSL",16
"SERPINB1",16
"YIPF3",16
"SERPINI1",16
"AMPD3",16
"PDXK",16
"CD109",16
"RABAC1",16
"QSOX1",16
"OGA",16
"PSMD11",16
"GPI",16
"CTSH",16
"PFKL",16
"PTX3",16
"TIMP3",16
"DBNL",16
"MT2A",17
"TMBIM6",17
"ATOX1",17
"GRINA",17
"GSTO1",17
"CORO1A",17
"ATP1A1",17
"CD40",17
"S100A9",17
"MT1X",17
"NABP1",17
"CPNE8",17
"MT1E",17
"SELENON",17
"GLS",17
"CELF2",17
"SLC39A7",17
"ATP2A2",17
"SMOX",17
"SMAP2",18
"EIF5",18
"GMFG",18
"IQGAP1",18
"GDI2",18
"CDC42SE1",18
"DENND3",18
"PSD3",18
"GRB2",18
"NAA20",18
"MOB1A",18
"TIPRL",18
"ARHGAP26",18
"NDFIP1",18
"RASGEF1B",18
"ARHGAP10",18
"NUCB1",18
"CYTH2",18
"DENND4A",18
"CCND1",19
"ATP5IF1",19
"COX17",19
"RPS27L",19
"PSME1",19
"PIM1",19
"COMMD6",19
"APOC1",19
"PRDX5",19
"PSMA3",19
"CNPY2",19
"DAP",19
"NBN",19
"CCND3",19
"JUN",19
"AZIN1",19
"MALAT1",20
"S100A11",20
"CXCL10",20
"TMEM123",20
"TGFB1",20
"BAZ1A",20
"GPSM3",20
"EIF3F",20
"STK10",20
"SPN",20
"PTP4A1",20
"ADAM10",20
"AKIRIN1",20
"LYRM4",20
"CPM",20
"ACTB",21
"SH3BGRL3",21
"MYL12A",21
"CLIC1",21
"PABPC4",21
"PLEK",21
"TLN1",21
"FERMT3",21
"MYL9",21
"JMJD1C",21
"VKORC1",21
"FLNA",21
"FBXW5",21
"AP3B1",21
"TYROBP",22
"LY6E",22
"CXCL1",22
"TNF",22
"RAP1A",22
"GNB1",22
"TAF7",22
"PRMT2",22
"RAPGEF1",22
"NR4A1",22
"SNW1",22
"FBXO32",22
"CPEB2",22
"CD52",23
"MSN",23
"PNOC",23
"LGALS3",23
"YWHAQ",23
"ASAP1",23
"ATP1B3",23
"FXYD5",23
"KCNN2",23
"DIAPH1",23
"ARF4",23
"GEM",23
"DCP1A",23
"UQCRB",24
"UQCRH",24
"HINT1",24
"COX4I1",24
"NDUFS6",24
"UQCRQ",24
"ATP5MD",24
"NDUFS5",24
"ATP5MC3",24
"SLC25A3",24
"ATP5ME",24
"ATP5MF",24
"ATP5PF",24
"COX6B1",24
"ATP5F1B",24
"COX7B",24
"ATP5MPL",24
"UQCR10",24
"BRK1",24
"CLTA",24
"NDUFB4",24
"COX5A",24
"ATP5PB",24
"SLC25A5",24
"CALM3",24
"NDUFB2",24
"NDUFA1",24
"XRCC5",24
"SAP18",24
"ATP5F1D",24
"APRT",24
"NDUFB9",24
"NDUFB1",24
"TXNDC17",24
"PSMB8",24
"CYCS",24
"SEC11A",24
"SOD1",24
"EIF3K",24
"VDAC2",24
"TPP1",24
"PSME2",24
"PHPT1",24
"PSMD14",24
"NDUFAB1",24
"HIGD2A",24
"GABARAPL2",24
"ATP5F1A",24
"GHITM",24
"MRPL41",24
"COPS9",24
"ARPC4",24
"PSMB4",24
"NDUFA6",24
"UQCC2",24
"MDH1",24
"PRDX3",24
"NHP2",24
"ATP5PD",24
"MRPL14",24
"NDUFB3",24
"NDUFB10",24
"AURKAIP1",24
"DYNLRB1",24
"SLIRP",24
"ATP5PO",24
"C8orf59",24
"TIMM8B",24
"PSMB6",24
"NDUFA13",24
"DYNC1I2",24
"UQCRC1",24
"UBE2L3",24
"LAMP2",24
"EIF3G",24
"TRIP12",24
"NDUFAF3",24
"FAM107B",24
"PSMC3",24
"CCNL1",24
"UBE2E1",24
"ARHGEF2",24
"SPPL2A",24
"ADRM1",24
"SF3B5",24
"MAP2K2",24
"NDUFS7",24
"CHCHD10",24
"ETFB",24
"SERINC1",24
"RNF7",24
"BOLA3",24
"ECHS1",24
"MRPL36",24
"MRPL37",24
"VDAC3",24
"UBXN1",24
"NDUFA8",24
"SERINC3",24
"SOCS3",24
"NDUFB5",24
"RPL26L1",24
"UQCRC2",24
"TMEM141",24
"CHMP4A",24
"COPZ1",24
"DCTN6",24
"UBE2Z",24
"NDUFV1",24
"TXN2",24
"MED13",24
"MIF",24
"SURF4",24
"NRDC",24
"UFD1",24
"CCDC167",24
"VPS35",24
"NDUFA12",24
"POLR2I",24
"NCBP2",24
"COPRS",24
"ITPRIPL2",24
"RNF11",24
"NDUFA10",24
